ANO,PIB_BRASIL,PIB_SERGIPE,PERCAPITA_BRASIL,PERCAPITA_SERGIPE
2000,1199000,6539,6560,3664
2001,1316000,8018,7553,4412
2002,1489000,9454,8462,5121
2003,1718000,10873,9610,5800
2004,1958000,12167,10839,6393
2005,2171000,13427,11658,6823
2006,2409000,15124,12686,7559
2007,2720000,16895,14056,8308
2008,3110000,19551,15991,9778
2009,3333000,19767,16917,9786
2010,3886000,23932,19763,11572
2011,4376000,26198,21535,12536
2012,4815000,27823,22642,13180
2013,5332000,35192,26445,16028
2014,5779000,37472,28500,16722
2015,5996000,38554,28876,17189
2016,6269000,38867,30411,17153
2017,6585000,40700,31833,18405
2018,7004000,42000,33593,18443
2019,7389000,44690,35161,19441
2020,7610000,45410,35935,19583
2021,9012000,51861,42247,22177